Paper Number,Paper Venue,Keywords,Paper Link,Authors,Citation (BibTeX),Paper Name,Figure of Widget(s),Size,Quantity,Physicalization,Tangible-Virtual Mapping,Inherent Material Properties,Material Properties,Physical Form,Description of the Physical Form,Functional Shape,Description of the Functional Shape,Manipulation Method,Interaction Type,Interaction Description,Where the Interaction Happens,Input Type of Interaction,Input Description,Task Content,Task Entity's Representation,Description of the Task Entity's Representation,Description of the Output on Task Entity,Task Environment,Task-Interaction-Widget Mapping,Accessible Distance between User and Visualization Widget(s),Impact of Distance Change between User and Visualization Widget(s),Accessible Distance between User and Task Entity,Impact of Distance Change between User and Task Entity,Spatial Integration between Task Entity and Visualization Widget(s),Description of Spatial Integration between Task Entity and Visualization Widget(s)
1,CHI EA,Tangible & Interaction,https://dl.acm.org/doi/10.1145/1753846.1754229,"Spindler, Martin and Dachselt, Raimund","@inproceedings{10.1145/1753846.1754229,
author = {Spindler, Martin and Dachselt, Raimund},
title = {Exploring information spaces by using tangible magic lenses in a tabletop environment},
year = {2010},
isbn = {9781605589305},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/1753846.1754229},
doi = {10.1145/1753846.1754229},
abstract = {To solve the challenge of exploring large information spaces on interactive surfaces such as tabletops, we developed an optically tracked, lightweight, passive display (magic lens) that provides elegant three-dimensional exploration of rich datasets. This can either be volumetric, layered, zoomable, or temporal information spaces, which are mapped onto the physical volume above a tabletop. By moving the magic lens through the volume, corresponding data is displayed, thus serving as a window into virtuality. Hereby, various interaction techniques are introduced, which especially utilize the lens' height above a tabletop in a novel way, e.g. for zooming or displaying information layers.},
booktitle = {CHI '10 Extended Abstracts on Human Factors in Computing Systems},
pages = {4771每4776},
numpages = {6},
keywords = {data exploration, interactive surface, ir-tracking, magic lens, natural interaction, paper display, passive display, tabletop, tangible interaction, volume slicing, window into virtuality},
location = {Atlanta, Georgia, USA},
series = {CHI EA '10}
}",Exploring information spaces by using tangible magic lenses in a tabletop environment,,Medium,Single,A tangible widget,N/A,Rigid,No use,Plate,A lightweight paper-based display,Planar surface,A surface of the paper-based display,One-handed,Positioning+Rotating,Moving a paper-based display in space for slicing the 3D visualization.,above the horizontal surface,"Position,Rotation",Physical widget: 3DOF translation and 3DOF rotation in the space.,Clipping,3D,3D medical volume rendering,"The image, position and rotation of the slice from the 3D visualization of medical volume data displayed on the paper-based display.",2D display,Use a plate to clip a 3D medical volume rendering by positioning+rotating.,Reachable,Physical: Interaction is possible only if manipulable entity is grabbed by user.,Reachable,Interaction is possible only if task object is reachable by user.,Crossed,"1. The paper-based display is in user's hand.
2. The cutting plane attached to paper-based display is crossed over the 3D visualization.
3. The 3D visualization is above the desktop."
1,CHI EA,Tangible & Interaction,https://dl.acm.org/doi/10.1145/1753846.1754229,"Spindler, Martin and Dachselt, Raimund","@inproceedings{10.1145/1753846.1754229,
author = {Spindler, Martin and Dachselt, Raimund},
title = {Exploring information spaces by using tangible magic lenses in a tabletop environment},
year = {2010},
isbn = {9781605589305},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/1753846.1754229},
doi = {10.1145/1753846.1754229},
abstract = {To solve the challenge of exploring large information spaces on interactive surfaces such as tabletops, we developed an optically tracked, lightweight, passive display (magic lens) that provides elegant three-dimensional exploration of rich datasets. This can either be volumetric, layered, zoomable, or temporal information spaces, which are mapped onto the physical volume above a tabletop. By moving the magic lens through the volume, corresponding data is displayed, thus serving as a window into virtuality. Hereby, various interaction techniques are introduced, which especially utilize the lens' height above a tabletop in a novel way, e.g. for zooming or displaying information layers.},
booktitle = {CHI '10 Extended Abstracts on Human Factors in Computing Systems},
pages = {4771每4776},
numpages = {6},
keywords = {data exploration, interactive surface, ir-tracking, magic lens, natural interaction, paper display, passive display, tabletop, tangible interaction, volume slicing, window into virtuality},
location = {Atlanta, Georgia, USA},
series = {CHI EA '10}
}",Exploring information spaces by using tangible magic lenses in a tabletop environment,,Medium,Single,A tangible widget,N/A,Rigid,No use,Plate,A lightweight paper-based display,Planar surface,A surface of the paper-based display,One-handed,Positioning,Moving a paper-based display at different height in space for selecting the visualization layer.,above the horizontal surface,Position,Physical widget: 1DOF translation in the vertical direction.,Looking up,3D,3D medical volume rendering,The position and rotation of one displaying layer of 3D visualization of medical volume data displayed on the paper-based display.,2D display,Use a plate to lookup a 3D medical volume rendering by positioning.,Reachable,Physical: Interaction is possible only if manipulable entity is grabbed by user.,Reachable,Interaction is possible only if task object is reachable by user.,Aligned,"1. The paper-based display is in user's hand.
2. The paper-based display is aligned with the 3D visualization.
3. The 3D visualization is above the desktop."
1,CHI EA,Tangible & Interaction,https://dl.acm.org/doi/10.1145/1753846.1754229,"Spindler, Martin and Dachselt, Raimund","@inproceedings{10.1145/1753846.1754229,
author = {Spindler, Martin and Dachselt, Raimund},
title = {Exploring information spaces by using tangible magic lenses in a tabletop environment},
year = {2010},
isbn = {9781605589305},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/1753846.1754229},
doi = {10.1145/1753846.1754229},
abstract = {To solve the challenge of exploring large information spaces on interactive surfaces such as tabletops, we developed an optically tracked, lightweight, passive display (magic lens) that provides elegant three-dimensional exploration of rich datasets. This can either be volumetric, layered, zoomable, or temporal information spaces, which are mapped onto the physical volume above a tabletop. By moving the magic lens through the volume, corresponding data is displayed, thus serving as a window into virtuality. Hereby, various interaction techniques are introduced, which especially utilize the lens' height above a tabletop in a novel way, e.g. for zooming or displaying information layers.},
booktitle = {CHI '10 Extended Abstracts on Human Factors in Computing Systems},
pages = {4771每4776},
numpages = {6},
keywords = {data exploration, interactive surface, ir-tracking, magic lens, natural interaction, paper display, passive display, tabletop, tangible interaction, volume slicing, window into virtuality},
location = {Atlanta, Georgia, USA},
series = {CHI EA '10}
}",Exploring information spaces by using tangible magic lenses in a tabletop environment,,Medium,Single,A tangible widget,N/A,Rigid,No use,Plate,A lightweight paper-based display,Planar surface,A surface of the paper-based display,One-handed,Positioning,Moving a paper-based display in space for navigating (panning and scaling) the 2D map.,above the horizontal surface,Position,Physical widget: 3DOF translation in the plane.,Navigating,2D,2D map,"The viewpoint position, rotation and scale of the 2D map displayed on the paper-based display.",2D display,Use a plate to navigate a 2D map by positioning.,Reachable,Physical: Interaction is possible only if manipulable entity is grabbed by user.,Reachable,Interaction is possible only if task object is reachable by user.,Aligned,"1. The paper-based display is in user's hand.
2. The paper-based display is aligned with the 2D map.
3. The 2D map is above the desktop."
1,CHI EA,Tangible & Interaction,https://dl.acm.org/doi/10.1145/1753846.1754229,"Spindler, Martin and Dachselt, Raimund","@inproceedings{10.1145/1753846.1754229,
author = {Spindler, Martin and Dachselt, Raimund},
title = {Exploring information spaces by using tangible magic lenses in a tabletop environment},
year = {2010},
isbn = {9781605589305},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/1753846.1754229},
doi = {10.1145/1753846.1754229},
abstract = {To solve the challenge of exploring large information spaces on interactive surfaces such as tabletops, we developed an optically tracked, lightweight, passive display (magic lens) that provides elegant three-dimensional exploration of rich datasets. This can either be volumetric, layered, zoomable, or temporal information spaces, which are mapped onto the physical volume above a tabletop. By moving the magic lens through the volume, corresponding data is displayed, thus serving as a window into virtuality. Hereby, various interaction techniques are introduced, which especially utilize the lens' height above a tabletop in a novel way, e.g. for zooming or displaying information layers.},
booktitle = {CHI '10 Extended Abstracts on Human Factors in Computing Systems},
pages = {4771每4776},
numpages = {6},
keywords = {data exploration, interactive surface, ir-tracking, magic lens, natural interaction, paper display, passive display, tabletop, tangible interaction, volume slicing, window into virtuality},
location = {Atlanta, Georgia, USA},
series = {CHI EA '10}
}",Exploring information spaces by using tangible magic lenses in a tabletop environment,,Medium,Single,A tangible widget,N/A,Rigid,No use,Plate,A lightweight paper-based display,Planar surface,A surface of the paper-based display,One-handed,Positioning,Moving a paper-based display in space horizontally for selecting the dataset.,above the horizontal surface,Position,Physical widget: 2DOF translation in the space horizontally.,Looking up,2D,2D video,One frame from one of multiple videos displayed on the paper-based display.,2D display,Use a plate to lookup a 2D video by positioning.,Reachable,Physical: Interaction is possible only if manipulable entity is grabbed by user.,Reachable,Interaction is possible only if task object is reachable by user.,Aligned,"1. The paper-based display is in user's hand.
2. The paper-based display is aligned with the video.
3. The video is above the desktop."
1,CHI EA,Tangible & Interaction,https://dl.acm.org/doi/10.1145/1753846.1754229,"Spindler, Martin and Dachselt, Raimund","@inproceedings{10.1145/1753846.1754229,
author = {Spindler, Martin and Dachselt, Raimund},
title = {Exploring information spaces by using tangible magic lenses in a tabletop environment},
year = {2010},
isbn = {9781605589305},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/1753846.1754229},
doi = {10.1145/1753846.1754229},
abstract = {To solve the challenge of exploring large information spaces on interactive surfaces such as tabletops, we developed an optically tracked, lightweight, passive display (magic lens) that provides elegant three-dimensional exploration of rich datasets. This can either be volumetric, layered, zoomable, or temporal information spaces, which are mapped onto the physical volume above a tabletop. By moving the magic lens through the volume, corresponding data is displayed, thus serving as a window into virtuality. Hereby, various interaction techniques are introduced, which especially utilize the lens' height above a tabletop in a novel way, e.g. for zooming or displaying information layers.},
booktitle = {CHI '10 Extended Abstracts on Human Factors in Computing Systems},
pages = {4771每4776},
numpages = {6},
keywords = {data exploration, interactive surface, ir-tracking, magic lens, natural interaction, paper display, passive display, tabletop, tangible interaction, volume slicing, window into virtuality},
location = {Atlanta, Georgia, USA},
series = {CHI EA '10}
}",Exploring information spaces by using tangible magic lenses in a tabletop environment,,Medium,Single,A tangible widget,N/A,Rigid,No use,Plate,A lightweight paper-based display,Planar surface,A surface of the paper-based display,One-handed,Positioning,Moving a paper-based display at different height in space for adjusting the value of the time axis.,above the horizontal surface,Position,Physical widget: 1DOF translation in the vertical direction.,Adjusting,2D,2D video,One frame from one of multiple videos displayed on the paper-based display.,2D display,Use a plate to adjust a 2D video by positioning.,Reachable,Physical: Interaction is possible only if manipulable entity is grabbed by user.,Reachable,Interaction is possible only if task object is reachable by user.,Aligned,"1. The paper-based display is in user's hand.
2. The paper-based display is aligned with the video.
3. The video is above the desktop."
2,PubMed - Medicine Meets Virtual Reality,3D Interaction,https://pubmed.ncbi.nlm.nih.gov/21335844/,"Rick, Tobias and von Kapri, Anette and Caspers, Svenja and Amunts, Katrin and Zilles, Karl and Kuhlen, Torsten","@incollection{rick2011visualization,
  title={Visualization of probabilistic fiber tracts in virtual reality},
  author={Rick, Tobias and von Kapri, Anette and Caspers, Svenja and Amunts, Katrin and Zilles, Karl and Kuhlen, Torsten},
  booktitle={Medicine Meets Virtual Reality 18},
  pages={486--492},
  year={2011},
  publisher={IOS Press}
}",Visualization of probabilistic fiber tracts in virtual reality,,Small,Double,A virtual widget+A tangible widget,Fully mapped,Rigid,No use,Slender body (with Non-planar surface),A handheld device (with a cone attached to the distal end of handheld device),Non-planar surface,A cone attached to the distal end of handheld device,One-handed,Casting,Moving a handheld device in space to cast a clipping cone for clipping the 3D visualization.,in the room space,"Position,Rotation","Virtual widget: 3DOF translation and 3DOF rotation in the space.
Physical widget: 3DOF translation and 3DOF rotation in the space.",Clipping,3D,3D medical volume rendering,The position and rotation of the clipping cone within the 3D visualization of medical volume data displayed in the virtual reality (CAVE).,Virtual reality,Use a non-planar surface controlled by a slender body to clip a 3D medical volume rendering by casting.,Reachable,"Virtual: Not impacted within the accessible distance.
Physical: Interaction is possible only if manipulable entity is grabbed by user.",Flexible,Not impacted within the accessible distance.,Crossed,"1. The handheld device is in user's hand.
2. The cutting cone attached to handheld device is crossed over the 3D visualization.
3. The 3D visualization is in the room."
3,VR,3D Interaction,https://ieeexplore.ieee.org/document/8797684,"Khadka, Rajiv and Banic, Amy","@INPROCEEDINGS{8797684,
  author={Khadka, Rajiv and Banic, Amy},
  booktitle={2019 IEEE Conference on Virtual Reality and 3D User Interfaces (VR)}, 
  title={Body-Prop Interaction: Evaluation of Augmented Open Discs and Egocentric Body-Based Interaction}, 
  year={2019},
  volume={},
  number={},
  pages={1705-1710},
  keywords={Data visualization;Task analysis;Three-dimensional displays;Augmented reality;Headphones;Tracking;Virtual environments;Human-centered computing;Mixed / augmented reality;User studies Human-centered computing;Usability Testing},
  doi={10.1109/VR.2019.8797684}}",Body-Prop Interaction: Evaluation of Augmented Open Discs and Egocentric Body-Based Interaction,,Small,Single,A tangible widget,N/A,Rigid,No use,Toroid,A circular-shaped 3D open disc,Body,A circular-shaped 3D open disc,One-handed,Positioning,Moving a open disc in space to contact the 3D virtual object for selecting.,in the room space,Position,Physical widget: 3DOF translation in the space.,Looking up,3D,3D graphic,The position and rotation of the 3D virtual object displayed in the augmented reality (HMD).,Augmented reality,Use a toroid to lookup a 3D graphic by positioning.,"Embodied,Reachable",Physical: Interaction is possible only if manipulable entity is grabbed by user.,Reachable,Interaction is possible only if task object is reachable by user.,Crossed,"1. The 3D open disc is in user's hand.
2. The 3D open disc is crossed over the 3D graphic.
3. The 3D graphic is in the room."
3,VR,3D Interaction,https://ieeexplore.ieee.org/document/8797684,"Khadka, Rajiv and Banic, Amy","@INPROCEEDINGS{8797684,
  author={Khadka, Rajiv and Banic, Amy},
  booktitle={2019 IEEE Conference on Virtual Reality and 3D User Interfaces (VR)}, 
  title={Body-Prop Interaction: Evaluation of Augmented Open Discs and Egocentric Body-Based Interaction}, 
  year={2019},
  volume={},
  number={},
  pages={1705-1710},
  keywords={Data visualization;Task analysis;Three-dimensional displays;Augmented reality;Headphones;Tracking;Virtual environments;Human-centered computing;Mixed / augmented reality;User studies Human-centered computing;Usability Testing},
  doi={10.1109/VR.2019.8797684}}",Body-Prop Interaction: Evaluation of Augmented Open Discs and Egocentric Body-Based Interaction,,Small,Single,A tangible widget,N/A,Rigid,No use,Toroid,A circular-shaped 3D open disc,Body,A circular-shaped 3D open disc,One-handed,Positioning+Rotating,Moving a open disc in space for manipulating the 3D virtual object.,in the room space,"Position,Rotation",Physical widget: 3DOF translation and 3DOF rotation in the space.,Translating/Rotating/Scaling,3D,3D graphic,The position and rotation of the 3D virtual object displayed in the augmented reality (HMD).,Augmented reality,Use a toroid to translate/rotate/scale a 3D graphic by positioning+rotating.,"Embodied,Reachable",Physical: Interaction is possible only if manipulable entity is grabbed by user.,Reachable,Interaction is possible only if task object is reachable by user.,Crossed,"1. The 3D open disc is in user's hand.
2. The 3D open disc is crossed over the 3D graphic.
3. The 3D graphic is in the room."
4,SUI,3D Interaction,https://dl.acm.org/doi/10.1145/2788940.2788941,"Berg\'{e}, Louis-Pierre and Dubois, Emmanuel and Raynal, Mathieu","@inproceedings{10.1145/2788940.2788941,
author = {Berg\'{e}, Louis-Pierre and Dubois, Emmanuel and Raynal, Mathieu},
title = {Design and Evaluation of an ""Around the SmartPhone"" Technique for 3D Manipulations on Distant Display},
year = {2015},
isbn = {9781450337038},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/2788940.2788941},
doi = {10.1145/2788940.2788941},
abstract = {In this paper, we present the ""Around the SmartPhone"" interaction technique for manipulating 3D elements displayed on a distant screen. The design of the technique is based on the selection of the most appropriate value for characteristics useful to discriminate existing tactile and tangible techniques for 3D manipulations. We perform two user studies to compare this around-device technique for translating and rotating 3D objects, with two existing tangible and tactile solutions, in terms of performance and user's preference. The literature establishes that the tactile technique evaluated is the best tactile technique among the existing tactile techniques for 3D manipulation. Despite this result, our user study reveals that the two others perform significantly better. In addition, when feedback visibility is preserved, the around-device technique offers similar performance results than the tangible one. Finally, the around-device technique is significantly preferred over the two others in every condition.},
booktitle = {Proceedings of the 3rd ACM Symposium on Spatial User Interaction},
pages = {69每78},
numpages = {10},
keywords = {manipulation task, around-device interaction, 3d interaction},
location = {Los Angeles, California, USA},
series = {SUI '15}
}","Design and Evaluation of an ""Around the SmartPhone"" Technique for 3D Manipulations on Distant Display",,Small,Single,A tangible widget,N/A,Rigid,No use,Plate,A mobile device,Body,A mobile device,One-handed,Positioning+Rotating,Moving a mobile device in space for translating and rotating the 3D graphic.,above the horizontal surface,"Position,Rotation",Physical widget: 3DOF translation and 3DOF rotation in the space.,Translating/Rotating/Scaling,3D,3D graphic,The position and rotation of the 3D virtual object displayed on the screen on the mobile device.,2D display,Use a plate to translate/rotate/scale a 3D graphic by positioning+rotating.,Reachable,Physical: Interaction is possible only if manipulable entity is grabbed by user.,Reachable,Not impacted within the accessible distance.,Discrete,"1. The mobile device is in user's hand.
2. The mobile device is discrete from the 3D graphic.
3. The 3D graphic is away from the user."
5,VR,3D Interaction,https://ieeexplore.ieee.org/document/8797871,"Nam, Jung Who and McCullough, Krista and Tveite, Joshua and Espinosa, Maria Molina and Perry, Charles H. and Wilson, Barry T. and Keefe, Daniel F.","@INPROCEEDINGS{8797871,
  author={Nam, Jung Who and McCullough, Krista and Tveite, Joshua and Espinosa, Maria Molina and Perry, Charles H. and Wilson, Barry T. and Keefe, Daniel F.},
  booktitle={2019 IEEE Conference on Virtual Reality and 3D User Interfaces (VR)}, 
  title={Worlds-in-Wedges: Combining Worlds-in-Miniature and Portals to Support Comparative Immersive Visualization of Forestry Data}, 
  year={2019},
  volume={},
  number={},
  pages={747-755},
  keywords={Data visualization;Forestry;Visualization;Three-dimensional displays;Portals;Computer science;Task analysis;worlds-in-miniature;3D user interface;presence;comparative visualization;Human-centered computing〞Virtual reality;Human-centered computing〞Interaction techniques;Human-centered computing〞Scientific visualization;Human-centered computing〞Geographic visualization},
  doi={10.1109/VR.2019.8797871}}",Worlds-in-Wedges: Combining Worlds-in-Miniature and Portals to Support Comparative Immersive Visualization of Forestry Data,,Small,Single,A tangible widget,N/A,Rigid,No use,Slender body,A handheld VR controller,Straight edge,A casting ray attached to the distal end of handheld VR controller,One-handed,Casting,Moving a handheld VR controller in space to cast a ray on the plane to input a position for creating a WIM/annotation.,in the room space,"Position,Rotation",Physical widget: 3DOF translation and 3DOF rotation in the space.,Modulating,2D,2D map,The position of the WIM displayed in the virtual reality (HMD).,Virtual reality,Use a slender body to modulate a 2D map by casting.,Reachable,Physical: Interaction is possible only if manipulable entity is grabbed by user.,Reachable,Not impacted within the accessible distance.,Crossed,"1. The handheld VR controller is in user's hand.
2. The casting ray from handheld VR controller is crossed over the 2D map.
3. The 2D map is in the room."
